key_resp.keys,key_resp.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,trials_loop.ran,objects,study_objects,sounds1,sounds2,object_location_x,object_location_y,study_location_x,study_location_y,calc,dist1,dist2,dist3,dist4,dist5,dist6,dist1_location_x,dist2_location_x,dist3_location_x,dist4_location_x,dist5_location_x,dist6_location_x,dist1_location_y,dist2_location_y,dist3_location_y,dist4_location_y,dist5_location_y,dist6_location_y,participant,session,date,expName,psychopyVersion,OS,frameRate,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,degree_difference,accuracy,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_practice.ran,trials_prac2.thisRepN,trials_prac2.thisTrialN,trials_prac2.thisN,trials_prac2.thisIndex,trials_prac2.ran
,,,,,,,,,,,,,,,,,,,objects/1computermouse3.png,objects/1cellphone6.png,sounds/47.wav,sounds/30.wav,0.4,0,-0.29115,0.27428,19 +  6,distractors/1seashell12.png,distractors/3drumset12.png,distractors/1key6.png,distractors/1cellphone3.png,distractors/AANTICUP4.png,distractors/1cookie2.png,0.23426,0.1805,-0.050619,0.32727,0.088521,0.33512,0.23284,0.38847,0.013999,0.28346,0.21545,0.27341,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,-0.402417535,0.021484375,1,0,0,4,1,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,,objects/3wheelchair7.png,objects/sock4.png,sounds/32.wav,sounds/41.wav,0.39874,0.03178,-0.39716,0.047607,11 - 14,distractors/1bowtie6.png,distractors/3bed11.png,distractors/1seashell3.png,distractors/3motorcycle10.png,distractors/3helicopter8.png,distractors/1lock10.png,0.3978,-0.39815,-0.28957,0.23426,-0.30816,-0.35126,0.37391,0.048883,0.16949,0.083393,-0.038445,0.20653,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,0,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,-0.341497396,-0.214162326,1,0,0,125,0,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,,objects/2tire2.png,objects/1cookie2.png,sounds/31.wav,sounds/49.wav,0.39495,0.063359,0.36879,-0.15491,15 - 14,distractors/1bowtie1.png,distractors/3tent2.png,distractors/1cookie4.png,distractors/1giftbow12.png,distractors/3drumset6.png,distractors/1lock2.png,0.39121,0.35292,-0.24822,-0.043668,0.38031,-0.37922,0.26302,0.059287,0.25771,0.32827,0.30021,0.26826,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,0,2,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,0.257868924,0.303715278,1,0,0,10,1,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,,objects/3motorcycle2.png,objects/2turtle8.png,sounds/2.wav,sounds/9.wav,0.38867,0.094538,0.20457,0.34373,12 +  3,distractors/3tricycle8.png,distractors/3motorcycle7.png,distractors/2turtle5.png,distractors/1lock2.png,distractors/1butterfly10.png,distractors/3motorcycle1.png,-0.13882,-0.36082,-0.25905,0.047145,0.12227,-0.38719,0.4,0.39157,0.36451,0.38293,-0.10042,0.3849,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,0,3,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,0.020355903,-0.40530816,1,0,0,54,0,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,,objects/2hat9.png,objects/3langırt10.png,sounds/37.wav,sounds/31.wav,0.37993,0.12512,-0.31202,-0.25028, 1 +  9,distractors/3tricycle11.png,distractors/3langırt9.png,distractors/3vacuumcleaner5.png,distractors/1seashell5.png,distractors/1scrunchie7.png,distractors/1legoman12.png,0.12227,-0.17107,0.24547,0.34256,-0.37922,0.23426,0.10719,0.11726,-0.086813,0.24959,0.024487,-0.12726,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,0,4,4,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,-0.582278134,-0.004443908,1,0,0,139,0,0,0,0,0,1,,,,,
,,,,,,,,,,,,,,,,,,,objects/1mp3player7.png,objects/2binocular4.png,sounds/7.wav,sounds/50.wav,0.36879,0.15491,0.30183,-0.26249, 9 x  6,distractors/1computermouse8.png,distractors/1pencilsharpener1.png,distractors/1armyguy9.png,distractors/1cupcake3.png,distractors/1lock5.png,distractors/1pencilsharpener7.png,-0.32927,-0.27973,0.14209,-0.39047,-0.39047,-0.38889,0.2125,0.24959,0.39798,0.22712,0.041927,0.034959,,001,2021-03-07_16h26.39.989,pilot_v61,2020.2.4,MacIntel,60,,,,,,,,,,,,,0,5,5,5,1
